app_id,category_short,category_long
com.aboitizceh,Business,/store/apps/category/BUSINESS
com.coned.conedison,Business,/store/apps/category/BUSINESS
gt4.aluminium,Business,/store/apps/category/BUSINESS
com.epocket.handyman.ui,Business,/store/apps/category/BUSINESS
com.lightlink.tileswaleApp,Business,/store/apps/category/BUSINESS
wcs.com.edfdemasz,Business,/store/apps/category/BUSINESS
gr.wattvolt.mywatt,Business,/store/apps/category/BUSINESS
co.nz.contactenergy,Business,/store/apps/category/BUSINESS
de.geberit.proapp,Business,/store/apps/category/BUSINESS
com.egger.vdsmobileapp,Business,/store/apps/category/BUSINESS
com.gsgroup.handyman,Business,/store/apps/category/BUSINESS
com.apspdcl.consumerapp,Business,/store/apps/category/BUSINESS
com.utilitywarehouse.clubhouse,Business,/store/apps/category/BUSINESS
net.JDECo.JDECoCApp,Business,/store/apps/category/BUSINESS
au.com.realcommercial.app,Business,/store/apps/category/BUSINESS
com.justmop.partner,Business,/store/apps/category/BUSINESS
ekapp.ekomplet.dk,Business,/store/apps/category/BUSINESS
com.vipera.dynamicengine,Business,/store/apps/category/BUSINESS
com.bi.JEPCO,Business,/store/apps/category/BUSINESS
com.apepdcl.consumerapp,Business,/store/apps/category/BUSINESS
com.dehon.climalife.fgassolution,Business,/store/apps/category/BUSINESS
fr.grdf.prosdugaz,Business,/store/apps/category/BUSINESS
com.airselangor.cris.mobile,Business,/store/apps/category/BUSINESS
de.brillux.brilluxapp,Business,/store/apps/category/BUSINESS
com.nee.fpl,Business,/store/apps/category/BUSINESS
com.mobile.kseb,Business,/store/apps/category/BUSINESS
com.blogspot.turbocolor.winstudio,Business,/store/apps/category/BUSINESS
com.idbsys.mobile,Business,/store/apps/category/BUSINESS
ke.co.kplc.incms.ss,Business,/store/apps/category/BUSINESS
com.cspdcl.cspdcl_consumer,Business,/store/apps/category/BUSINESS
com.sync.energisa,Business,/store/apps/category/BUSINESS
hu.elmu.eservice,Business,/store/apps/category/BUSINESS
com.dteenergy.insight,Business,/store/apps/category/BUSINESS
com.frizbiz,Business,/store/apps/category/BUSINESS
com.fanpowerapp.mobile,Entertainment,/store/apps/category/ENTERTAINMENT
smtown.wyth.com,Entertainment,/store/apps/category/ENTERTAINMENT
tv.vhx.worldofwonder,Entertainment,/store/apps/category/ENTERTAINMENT
korean.kpop.idols.bias.birthday.reminder.countdown.freeapp,Entertainment,/store/apps/category/ENTERTAINMENT
skoften.android.app,Entertainment,/store/apps/category/ENTERTAINMENT
escapemusic.android.a264,Entertainment,/store/apps/category/ENTERTAINMENT
com.square.thekking,Entertainment,/store/apps/category/ENTERTAINMENT
pl.polkomtel.plusfun,Entertainment,/store/apps/category/ENTERTAINMENT
in.til.popkorn,Entertainment,/store/apps/category/ENTERTAINMENT
com.nwt.padamyarfm,Entertainment,/store/apps/category/ENTERTAINMENT
net.instiz.www.instiz,Entertainment,/store/apps/category/ENTERTAINMENT
arabic.news2,Entertainment,/store/apps/category/ENTERTAINMENT
com.smtown.smtown.androidapp,Entertainment,/store/apps/category/ENTERTAINMENT
com.btslightstick.colorful.armylingting,Entertainment,/store/apps/category/ENTERTAINMENT
com.craft.android.woodwork,House & Home,/store/apps/category/HOUSE_AND_HOME
com.kfc_hu,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.axiomc.stickandwin,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.foodhiveph.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.coolclever.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
cy.com.alphamega.loyalty,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.perek.clientdeliveryapp_perek,Food & Drink,/store/apps/category/FOOD_AND_DRINK
sa.com.se.alkahraba,Business,/store/apps/category/BUSINESS
com.enerjisa.perakende.mobilislem,Business,/store/apps/category/BUSINESS
com.khedmatazma.provider,Business,/store/apps/category/BUSINESS
com.enphaseenergy.myenlighten,Business,/store/apps/category/BUSINESS
com.dewa.application,Business,/store/apps/category/BUSINESS
com.fewa.eService,Business,/store/apps/category/BUSINESS
com.automateddecision.decom.fp,Business,/store/apps/category/BUSINESS
com.ewavemobile.electriccompany,Business,/store/apps/category/BUSINESS
com.locon.housing,Business,/store/apps/category/BUSINESS
bsphcl.suvidha.org,Business,/store/apps/category/BUSINESS
com.iwindoor,Business,/store/apps/category/BUSINESS
com.hilti.mobile.hiltionline,Business,/store/apps/category/BUSINESS
com.unitedutilities.consumer.app,Business,/store/apps/category/BUSINESS
com.kelectric.customerapp,Business,/store/apps/category/BUSINESS
com.armut.armuthv,Business,/store/apps/category/BUSINESS
com.imdb.mobile,Entertainment,/store/apps/category/ENTERTAINMENT
com.ghanaweb.radio,Entertainment,/store/apps/category/ENTERTAINMENT
com.donga.idolpick,Entertainment,/store/apps/category/ENTERTAINMENT
com.ddnational.livetv,Entertainment,/store/apps/category/ENTERTAINMENT
inc.rowem.passicon,Entertainment,/store/apps/category/ENTERTAINMENT
com.gmanmi.entertainment.mobile,Entertainment,/store/apps/category/ENTERTAINMENT
com.hanteo.whosfan,Entertainment,/store/apps/category/ENTERTAINMENT
com.app.mizzima,Entertainment,/store/apps/category/ENTERTAINMENT
com.idol_chart.android,Entertainment,/store/apps/category/ENTERTAINMENT
air.vjsol.macheV.live,Entertainment,/store/apps/category/ENTERTAINMENT
ru.yazasoft.rateestate,House & Home,/store/apps/category/HOUSE_AND_HOME
ru.vkusvill.express,Food & Drink,/store/apps/category/FOOD_AND_DRINK
nu.sushibar,Food & Drink,/store/apps/category/FOOD_AND_DRINK
shop.foodly.mobile,Food & Drink,/store/apps/category/FOOD_AND_DRINK
kz.arbuz.arbuzkz,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.noon.nownow,Food & Drink,/store/apps/category/FOOD_AND_DRINK
in.zelish.android,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.rndelikateska,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.bottles,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.stedor.instashop,Food & Drink,/store/apps/category/FOOD_AND_DRINK
is.reon.kronan_webstore,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.saenongline.saenong,Food & Drink,/store/apps/category/FOOD_AND_DRINK
ro.delhaize,Food & Drink,/store/apps/category/FOOD_AND_DRINK
co.tapcart.app.id_zRYU2CJkcD,Food & Drink,/store/apps/category/FOOD_AND_DRINK
xjcl.mundraub,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.thehyundai.tohome,Food & Drink,/store/apps/category/FOOD_AND_DRINK
ly.tabe.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.bites.client.prod,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.wabi.customer,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.egets.drivers,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.jexmovers.food_delivery_app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.farmizen.farmizen,Food & Drink,/store/apps/category/FOOD_AND_DRINK
today.sendme,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.amipass.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.savvyapp.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.emeals,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.mrmilkman.akshayakalpa,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.fingertips.user,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.metromart.metromart,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.steljoy.smartfridge,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.wishop.dev.jow,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.freshfoodventures.crisp,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.bupos,Business,/store/apps/category/BUSINESS
com.ennergiiaactive,Business,/store/apps/category/BUSINESS
